도서관명,시도명,시군구명,도서관유형,휴관일,운영시작시각,운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,위도,경도,데이터기준일자
매포공공도서관,충청북도,단양군,공공,매주월요일,9:00,18:00,118,49345,0,978,5,7,충청북도 단양군 매포읍 평동4로 91,충청북도 단양군 매포읍사무소,043-422-1937,1311.6,1411.59,,37.0324773,128.2957126,2015-10-01
다누리도서관,충청북도,단양군,공공,매주월요일,9:00,22:00,87,"""66,693""",75,"""2,006""",7,14,충청북도 단양군 단양읍 수변로 111,충청북도 단양군 다누리센터관리사업소,043-420-2966,1089.94,1508.15,http://danuri.go.kr/lib,36.98541224,128.3707534,2015-10-01
성북정보도서관,서울특별시,성북구,공공,"""매월 첫째, 셋째 주 월요일 및 법정공휴일""",9:00,18:00,480,171379,358,9098,5,14,서울특별시 성북구 화랑로 18자길 13,성북문화재단,02-962-1081,2468,6667,https://www.sblib.seoul.kr/sblib/,37.6049514,127.0418181,2016-05-18
아리랑정보도서관,서울특별시,성북구,공공,"""매월 둘째, 넷째 주 월요일 및 법정공휴일""",9:00,18:00,274,138344,99,9835,5,14,서울특별시 성북구 아리랑로 82,성북문화재단,02-3291-4990,2352,2018,https://www.sblib.seoul.kr/sblib/,37.6002319,127.0117191,2016-05-18
해오름도서관,서울특별시,성북구,공공,"""매월 첫째, 셋째 주 월요일 및 법정공휴일""",9:00,18:00,70,37621,11,1290,5,14,서울특별시 성북구 성북로4길 52,성북문화재단,02-6925-7002,985,342,https://www.sblib.seoul.kr/sblib/,37.5940362,127.0083324,2016-05-18
종암동새날도서관,서울특별시,성북구,공공,"""매월 둘째, 넷째 주 월요일 및 법정공휴일""",9:00,18:00,110,36595,29,1773,5,14,서울특별시 성북구 종암로 98-8,성북문화재단,02-6925-6920,724,578,https://www.sblib.seoul.kr/sblib/,37.5990361,127.0329966,2016-05-18
석관동미리내도서관,서울특별시,성북구,공공,"""매월 둘째, 넷째 주 월요일 및 법정공휴일""",9:00,18:00,89,30270,35,662,5,14,서울특별시 성북구 한천로66길 203,성북문화재단,02-960-5067,433,542,https://www.sblib.seoul.kr/sblib/,37.6134793,127.0632154,2016-05-18
달빛마루도서관,서울특별시,성북구,공공,"""매월 첫째, 셋째 주 월요일 및 법정공휴일""",9:00,18:00,130,47054,79,1213,5,14,서울특별시 성북구 종암로 167,성북문화재단,02-911-0993,13927,829,https://www.sblib.seoul.kr/sblib/,37.6052297,127.0288023,2016-05-18
정릉도서관,서울특별시,성북구,공공,"""매월 첫째, 셋째 주 월요일 및 법정공휴일""",9:00,18:00,81,25178,29,774,5,14,서울특별시 성북구 정릉로 242,성북문화재단,02-2038-9928,565,283,https://www.sblib.seoul.kr/sblib/,37.6046078,127.0018441,2016-05-18
청수도서관,서울특별시,성북구,공공,매주 월요일 및 법정공휴일,9:00,18:00,95,29826,25,808,5,14,서울특별시 성북구 보국문로 16가길 20,성북문화재단,02-2038-4423,423,462,https://www.sblib.seoul.kr/sblib/,37.6116602,127.008601,2016-05-18
함양도서관,경상남도,함양군,공공도서관,매주월요일,9:00,18:00,260,81691,24,8518,10,14,경상남도 함양군 함양로 1143-1,경상남도 교육청,055-963-3186,3165,1318,http://hylib.gne.go.kr,35.52113228,127.7270489,2016-10-25
동탄복합문화센터도서관,경기도,화성시,공공도서관,"""2,4주 월요일, 국가지정 공휴일""",9:00,22:00,930,117749,90,2775,5,14,경기도 화성시 노작로 134(반송동),화성시문화재단,031-8015-8200,40397,2600,http://www.hscitylib.or.kr,37.200621,127.0746292,2015-08-17
병점도서관,경기도,화성시,공공도서관,"""2,4주 월요일, 국가지정 공휴일""",9:00,22:00,456,112079,157,3329,5,14,경기도 화성시 병점3로 132-6(병점동),화성시문화재단,031-226-1822,49171,957.01,http://www.hscitylib.or.kr,37.212431,127.0461018,2015-08-17
봉담도서관,경기도,화성시,공공도서관,"""2,4주 월요일, 국가지정 공휴일""",9:00,22:00,350,70857,93,1571,5,14,경기도 화성시 봉담읍 샘마을 1길 8-4,화성시문화재단,031-227-7281,2394,1286,http://www.hscitylib.or.kr,37.219457,126.9491345,2015-08-17
삼괴도서관,경기도,화성시,공공도서관,"""2,4주 월요일, 국가지정 공휴일""",9:00,22:00,192,85113,74,3220,5,14,경기도 화성시 우정읍 쌍봉로 109-26,화성시문화재단,031-358-2101,6612,1065,http://www.hscitylib.or.kr,37.089317,126.8142756,2015-08-17
송산도서관,경기도,화성시,공공도서관,"""2,4주 월요일, 국가지정 공휴일""",9:00,22:00,406,40221,81,1625,5,14,경기도 화성시 송산면 삼일공원로87,화성시문화재단,031-355-5798,8070,1346,http://www.hscitylib.or.kr,37.21697,126.7390067,2015-08-17
남양도서관,경기도,화성시,공공도서관,"""2,4주 월요일, 국가지정 공휴일""",9:00,22:00,190,144324,70,3907,5,14,경기도 화성시 대학길 27(남양읍),화성시문화재단,031-356-5241,3405,674,http://www.hscitylib.or.kr,37.209957,126.8266235,2015-08-17
태안도서관,경기도,화성시,공공도서관,"""2,4주 월요일, 국가지정 공휴일""",9:00,22:00,176,105389,67,4173,5,14,경기도 화성시 용주로 22(안녕동),화성시문화재단,031-223-4764,902,902,http://www.hscitylib.or.kr,37.206135,127.0145273,2015-08-17
정남도서관,경기도,화성시,공공도서관,"""2,4주 월요일, 국가지정 공휴일""",9:00,22:00,139,18903,78,370,5,14,경기도 화성시 정남면 만년로527,화성시문화재단,031-8059-4946,1714,567,http://www.hscitylib.or.kr,37.168373,126.9830113,2015-08-17
장항공공도서관,충청남도,서천군,공공도서관,매주 월요일,9:00,22:00,90,"""66,935""",68,0,5,14,충청남도 서천군 장항읍 성화로 26-2,전북대학교 산학협력단,041-956-5016,826,1084,http://www.jhlib.kr,36.015272,126.68552,2016-05-20
용인중앙도서관,경기도,용인시,공공도서관,매주 일요일,7:00,24:00:00,350,271178,120,3038,7,21,경기도 용인시 처인구 명지로 27(역북동),경기도 용인시,031-324-4610,9944,3608,http://www.yonginlib.go.kr/yongin/,37.23352276,127.1902608,2016-08-30
구갈희망누리도서관,경기도,용인시,공공도서관,매주 일요일,9:00,24:00:00,64,36379,12,0,7,21,경기도 용인시 기흥구 갈곡로12번길1(구갈동),경기도 용인시,031-324-4610,357,264,https://www.yonginlib.go.kr:5444/gugal/main.asp,37.27268701,127.1322706,2016-08-30
구성도서관,경기도,용인시,공공도서관,"""1, 3주 월요일 휴관""",7:00,24:00:00,493,106235,96,3184,7,21,경기도 용인시 기흥구 구성로 77번길 17(언남동),경기도 용인시,031-324-4610,8987,2775,www.yonginlib.go.kr/guseong,37.29659622,127.1187437,2016-08-30
기흥도서관,경기도,용인시,공공도서관,"""매월 첫 번째,세번째 월요일""",7:00,24:00:00,517,124352,91,2523,7,21,경기도 용인시 기흥구 기흥로 116번길,경기도 용인시,031-324-4610,13200,6607,www.yonginlib.go.kr/giheung,,,2016-08-30
동백도서관,경기도,용인시,공공도서관,"""둘째,넷째 월요일""",7:00,24:00:00,485,116776,91,3188,7,21,경기도 용인시 기흥구 동백3로 80,경기도 용인시,031-324-4610,41326,5560,http://www.yonginlib.go.kr/dongbaek,37.27410423,127.1599078,2016-08-30
디지털정보도서관,경기도,용인시,공공도서관,"""매월 두 번째, 네 번째 월요일""",7:00,24:00:00,44,9410,26,26432,7,21,경기도 용인시 처인구 중부대로 1199 (삼가동) 문화예술원 1층,경기도 용인시,031-324-4610,400,400,https://www.yonginlib.go.kr:5444/digitallib/,37.24076859,127.1774648,2016-08-30
모현도서관,경기도,용인시,공공도서관,"""매월 둘째,넷째주월요일""",7:00,24:00:00,80,68410,64,747,7,21,경기도 용인시 처인구 모현면 백옥대로 2378(모현면 왕산리),경기도 용인시,031-324-4610,1627,2728,http://www.yonginlib.go.kr,37.33565317,127.2496203,2016-08-30
보라도서관,경기도,용인시,공공도서관,"""2,4주 월요일""",7:00,24:00:00,607,82167,100,744,7,21,경기도 용인시 기흥구 한보라2로 116,경기도 용인시,031-324-4610,87.722,4360,https://www.yonginlib.go.kr:5444/bora,37.2479054,127.1083336,2016-08-30
화정도서관,경기도,고양시,공공도서관,"""2,4번째 월요일 국가지정공휴일""",7:00,23:00,530,185403,170,5687,7,14,경기도 고양시 덕양구 은빛로 77번길 8,고양시도서관센터,031-8075-9215,4149.3,4580.1,http://www.goyanglib.or.kr,37.63783607,126.8371044,2015-08-12
행신도서관,경기도,고양시,공공도서관,"""1,3번째 월요일 국가지정공휴일""",7:00,23:00,342,152293,130,1680,7,14,경기도 고양시 덕양구 행당로 33번길 25-6,고양시도서관센터,031-8075-9239,3132,2384.3,http://www.goyanglib.or.kr,37.62075898,126.8283382,2015-08-12
원당도서관,경기도,고양시,공공도서관,"""1,3번째 월요일 국가지정공휴일""",7:00,23:00,270,119007,102,3589,7,14,경기도 고양시 덕양구 호국로 790번길 49-9,고양시도서관센터,031-8075-9259,4310,1552.6,http://www.goyanglib.or.kr,37.65629421,126.8388592,2015-08-12
신원도서관,경기도,고양시,공공도서관,"""2,4번째 월요일 국가지정공휴일""",7:00,23:00,170,29612,153,617,7,14,경기도 고양시 덕양구 신원2로 24 제1동,고양시도서관센터,031-8075-9340,14983,3982.89,http://www.goyanglib.or.kr,37.66638285,126.8863592,2015-08-12
삼송도서관,경기도,고양시,공공도서관,"""1,3번째 월요일 국가지정공휴일""",7:00,23:00,110,18330,126,122,7,14,경기도 고양시 덕양구 덕수천1로 73,고양시도서관센터,031-8075-9360,45016,3836.142,http://www.goyanglib.or.kr,37.64886271,126.8848539,2015-08-12
아람누리도서관,경기도,고양시,공공도서관,"""1,3번째 월요일 국가지정공휴일""",9:00,22:00,0,117678,255,2149,7,14,경기도 고양시 일산동구 중앙로 1286 아람누리도서관동,고양시도서관센터,031-8075-9038,54239.4,4457.07,http://www.goyanglib.or.kr,37.66148641,126.7744561,2015-08-12
마두도서관,경기도,고양시,공공도서관,"""2,4번째 월요일 국가지정공휴일""",7:00,23:00,397,182583,164,5605,7,14,경기도 고양시 일산동구 일산로 355,고양시도서관센터,031-8075-9067,36029.3,3756.7,http://www.goyanglib.or.kr,37.66671557,126.7820569,2015-08-12
백석도서관,경기도,고양시,공공도서관,"""1,3번째 월요일 국가지정공휴일""",7:00,23:00,234,148909,156,3631,7,14,경기도 고양시 일산동구 일산로 118,고양시도서관센터,031-8075-9090,4347.7,4030.5,http://www.goyanglib.or.kr,37.64721753,126.7936264,2015-08-12
풍동도서관,경기도,고양시,공공도서관,"""1,3번째 월요일 국가지정공휴일""",9:00,22:00,0,93313,128,1735,7,14,경기도 고양시 일산동구 숲속마을로 108,고양시도서관센터,031-8075-9148,51109.3,1574.13,http://www.goyanglib.or.kr,37.67022046,126.7951722,2015-08-12
식사도서관,경기도,고양시,공공도서관,"""2,4번째 월요일 국가지정공휴일""",7:00,23:00,194,55164,153,1360,7,14,경기도 고양시 일산동구 위시티2로 43-6,고양시도서관센터,031-8075-9190,2400,3775.72,http://www.goyanglib.or.kr,37.67621201,126.8159725,2015-08-12
대화도서관,경기도,고양시,공공도서관,"""1,3번째 월요일 국가지정공휴일""",7:00,23:00,190,129649,150,1974,7,14,경기도 고양시 일산서구 일산로 689,고양시도서관센터,031-8075-9130,3944,3901.82,http://www.goyanglib.or.kr,37.68102185,126.7539417,2015-08-12
한뫼도서관,경기도,고양시,공공도서관,"""2,4번째 월요일 국가지정공휴일""",7:00,23:00,129,133412,167,1655,7,14,경기도 고양시 일산서구 탄중로 284,고양시도서관센터,031-8075-9115,26167,4159.54,http://www.goyanglib.or.kr,37.69355743,126.7762593,2015-08-12
덕이도서관,경기도,고양시,공공도서관,"""1,3번째 월요일 국가지정공휴일""",7:00,23:00,168,51980,150,1164,7,14,경기도 고양시 일산서구 하이파크로 128,고양시도서관센터,031-8075-9320,45821.6,2956.88,http://www.goyanglib.or.kr,37.70294924,126.7545541,2015-08-12
중앙도서관,경기도,파주시,공공도서관,"""1,3,5월요일""",9:00,22:00,986,230,242,17395,7,14,경기도 파주시 쇠재로 33(금촌동),중앙도서관,031-940-5651,2031,6388,http://www.pajulib.or.kr/jalib,37.7500196,126.7707155,2016-09-07
금촌도서관,경기도,파주시,공공도서관,"""2,4,5 월요일""",10:00,18:00,98,56733,145,2399,7,14,경기도 파주시 시민회관길 40(금촌동),금촌도서관,031-940-4381,1387,447,http://www.pajulib.or.kr/gclib,37.75851366,126.7800448,2016-09-07
문산도서관,경기도,파주시,공공도서관,"""1,3,5월요일""",11:00,18:00,227,87944,122,2760,7,14,경기도 파주시 문산읍 개포래로 42,문산도서관,031-940-8433,2593,1164,http://www.pajulib.or.kr/mslib,37.8532897,126.7833405,2016-09-07
법원도서관,경기도,파주시,공공도서관,"""2,4,5 월요일""",12:00,18:00,158,71415,115,1243,7,14,경기도 파주시 법원읍 사임당로 947,법원도서관,031-940-4193,2238,1080,http://www.pajulib.or.kr/bwlib,37.8475023,126.8863409,2016-09-07
적성도서관,경기도,파주시,공공도서관,"""2,4,5 월요일""",13:00,22:00,86,40315,83,1056,7,14,경기도 파주시 적성면 청송로 1013,적성도서관,031-940-8559,4600,4996,http://www.pajulib.or.kr/jslib,37.95428304,126.9176169,2016-09-07
교하도서관,경기도,파주시,공공도서관,"""2,4,5 월요일""",15:00,22:00,573,142685,276,5089,7,14,경기도 파주시 숲속노을로 256(동패동),교하도서관,031-940-5153,7000,8546,http://www.pajulib.or.kr/ghlib,37.72332017,126.7123008,2016-09-07
해솔도서관,경기도,파주시,공공도서관,"""1,3,5월요일""",16:00,18:00,198,52786,85,167,7,14,경기도 파주시 해솔로 34(목동동),해솔도서관,031-940-5149,3606,1987,http://www.pajulib.or.kr/hslib,37.72668889,126.7481281,2016-09-07
한빛도서관,경기도,파주시,공공도서관,"""2,4,5 월요일""",17:00,18:00,320,28207,74,895,7,14,경기도 파주시 와석순환로 94(야당동),한빛도서관,031-940-5777,2382,1653,http://www.pajulib.or.kr/hblib,37.71199141,126.7494208,2016-09-07
가람도서관,경기도,파주시,공공도서관,매주 월요일,18:00,18:00,136,37373,90,8400,7,14,경기도 파주시 가람로 116번길 170(와동동),가람도서관,031-947-0062,7160,1231,http://www.pajulib.or.kr/grlib,37.730538,126.7638785,2016-09-07
조리도서관,경기도,파주시,공공도서관,매주 월요일,19:00,18:00,92,25285,57,0,7,14,경기도 파주시 조리읍 내산길 29,조리도서관,031-944-2946,1295,613,http://www.pajulib.or.kr/jrlib,37.74752882,126.80661,2016-09-07
솔빛도서관,경기도,파주시,공공도서관,매주 월요일,20:00,18:00,131,34401,143,0,7,14,경기도 파주시 시청로 194(아동동),솔빛도서관,031-944-8211,4600,1023,http://www.pajulib.or.kr/gclib3/,37.7714159,126.778354,2016-09-07
물푸레도서관,경기도,파주시,공공도서관,매주 월요일,21:00,18:00,125,30906,44,0,7,14,경기도 파주시 청석로 360(다율동),물푸레도서관,031-944-5951,1808,944,http://www.pajulib.or.kr/mplib,37.73404278,126.7202412,2016-09-07
탄현도서관,경기도,파주시,공공도서관,매주 토요일,22:00,18:00,50,6123,29,0,7,14,경기도 파주시 탄현면 방촌로649번길 24-7 탄현면사무소 2층,탄현도서관,031-940-8457,2596,271,http://www.pajulib.or.kr/thlib,37.80245922,126.7161227,2016-09-07
노은도서관,대전광역시,유성구,공공도서관,"""매월  첫째, 셋째 월요일, 국가지정공휴일""",8:00,22:00,212,61538,68,1427,3,14,대전광역시 유성구 노은동로 234번길34(지족동),대전광역시 유성구청,042-601-6610,7523,3355,http://lib.yuseong.go.kr/,36.38149444,127.3206551,2016-07-25
유성도서관,대전광역시,유성구,공공도서관,"""매주 월요일, 국가지정 공휴일""",8:00,22:00,565,141881,61,8759,3,14,대전광역시 유성구 대덕대로 507-38(가정동),대전광역시 유성구청,042-601-6530,29063,2465.8,http://lib.yuseong.go.kr/,36.37866183,127.3760534,2016-07-25
진잠도서관,대전광역시,유성구,공공도서관,"""매주 월요일, 국가지정 공휴일""",8:00,22:00,117,60939,68,1237,3,14,대전광역시 유성구 진잠로160번길 19(원내동),대전광역시 유성구청,042-601-6590,29063,2465.8,http://lib.yuseong.go.kr/,36.30315562,127.3197685,2016-07-25
구즉도서관,대전광역시,유성구,공공도서관,"""매주 월요일, 국가지정 공휴일""",8:00,22:00,271,96457,69,1978,3,14,대전광역시 유성구 와룡로37번길 20(송강동),대전광역시 유성구청,042-601-6510,4967,1496,http://lib.yuseong.go.kr/,36.42947012,127.3804467,2016-07-25
구암도서관,대전광역시,유성구,공공도서관,"""매주 월요일, 국가지정 공휴일""",8:00,22:00,138,30478,61,0,3,14,대전광역시 유성구 유성대로626번길 57(구암동),대전광역시 유성구청,042-601-6630,,582.1,http://lib.yuseong.go.kr/,36.34928913,127.3302684,2016-07-25
관평도서관,대전광역시,유성구,공공도서관,"""매주 월요일, 국가지정 공휴일""",8:00,22:00,68,"""12,282""",53,0,3,14,대전광역시 유성구 테크노4로 131(관평동),충남대학교 산학협력단(민간위탁),042-716-0350,808.8,1755.5,http://www.gplib.or.kr/,36.42318326,127.388391,2016-07-25
부산광역시남구도서관,부산광역시,남구,공공도서관,"""매주 월요일, 국경일, 정부지정공휴일""",7:00,23:00,486,196135,2706,9041,5,15,부산광역시 남구 수영로 267번길 61(대연동),부산광역시 남구청,051-621-8160,7157,1162,http://library.bsnamgu.go.kr,35.13769624,129.0945671,2016-08-31
삼국유사군위도서관,경상북도,군위군,공공도서관,"""매주 월요일, 법정공휴일, 특별한 사유로 도서관장이 지정한 날""",9:00,18:00,510,73205,106,6683,5,14,경상북도 군위군 군위읍 군청로 175,삼국유사군위도서관,054-382-0528,5382,2205,www.gunwilib.or.kr,36.239461,128.572527,2016-06-20
영양공공도서관,경상북도,영양군,공공도서관,매주월요일  국가지정공휴일,9:00,18:00,367,"""83,974""",271,"""5,091""",5,14,경상북도 영양군 영양읍 팔수로 538,경상북도 영양교육청,054-683-2829,,,www.yylib.go.kr,36.661005,129.111181,2015-09-01
등빛도서관,서울특별시,강서구,공공도서관,매월마지막주 월요일,9:00,22:00,386,"""44,182""",101,1839,5,14,서울특별시 강서구 강서로62길 48,학교법인세민학원,02-3664-6990,948,"""2,281""",http://lib.gangseo.seoul.kr,37.5615942,126.8367344,2016-05-31
곰달래도서관,서울특별시,강서구,공공도서관,월요일,9:00,22:00,70,"""33,884""",93,649,5,14,서울특별시 강서구 강서로5길 50,학교법인세민학원,02-2065-3786,"""3,210""","""1,641""",http://lib.gangseo.seoul.kr,37.529061,126.8462943,2016-05-31
강서영어도서관,서울특별시,강서구,공공도서관,월요일,9:00,18:00,177,"""23,805""",40,858,5,14,서울특별시 강서구 곰달래로57가길 26,학교법인세민학원,02-2061-2270,"""3,278""",541,http://lib.gangseo.seoul.kr,37.5345776,126.858419,2016-05-31
푸른들청소년도서관,서울특별시,강서구,공공도서관,월요일,9:00,22:00,103,"""46,945""",51,498,5,14,서울특별시 강서구 강서로45다길 71,학교법인세민학원,02-2691-1630,436,707,http://lib.gangseo.seoul.kr,37.5446502,126.8329898,2016-05-31
길꽃어린이도서관,서울특별시,강서구,공공도서관,월요일,9:00,22:00,200,"""45,576""",49,585,5,14,서울특별시 강서구 금낭화로24길 5,영신교회,02-2663-4764,669,757,http://lib.gangseo.seoul.kr,37.5786732,126.8116303,2016-05-31
우장산숲속도서관,서울특별시,강서구,공공도서관,월요일,9:00,22:00,166,"""31,523""",28,279,5,14,서울특별시 강서구 우현로 34,영신교회,02-2696-6689,"""1,653""",601,http://lib.gangseo.seoul.kr,37.5481777,126.8396835,2016-05-31
