발생요일,구분,00시-02시,02시-04시,04시-06시,06시-08시,08시-10시,10시-12시,12시-14시,14시-16시,16시-18시,18시-20시,20시-22시,22시-24시
일,발생건수,2640,1733,1416,1286,1550,2077,2402,2940,2993,3427,3066,2152
일,사망자수,76,65,64,52,37,42,39,66,63,71,68,55
일,부상자수,4383,2946,2306,2144,2740,3658,4323,5543,5353,5904,5070,3507
월,발생건수,1239,756,848,2125,3299,2719,2800,3336,3600,4189,3607,3170
월,사망자수,30,31,70,66,63,71,61,74,73,102,86,52
월,부상자수,1960,1202,1261,3203,5018,4055,4195,5088,5213,6089,5239,4847
화,발생건수,1956,1072,952,2067,3150,2535,2526,3088,3460,4075,3505,3251
화,사망자수,57,40,55,63,58,59,48,83,70,105,75,66
화,부상자수,3061,1691,1407,3120,4586,3690,3786,4493,4987,5799,5115,5067
수,발생건수,1984,1144,991,1911,3070,2494,2617,3128,3387,4049,3435,3067
수,사망자수,50,36,41,64,50,83,44,56,71,85,87,60
수,부상자수,3183,1807,1482,2787,4427,3717,3862,4492,4803,5827,5138,4794
목,발생건수,1954,1110,989,2159,3297,2568,2700,2982,3408,4009,3410,3257
목,사망자수,54,47,48,62,62,69,54,69,66,95,75,68
목,부상자수,3064,1712,1465,3246,4840,3763,3934,4283,4883,5656,5085,5107
금,발생건수,2123,1322,1076,2236,3526,2653,2797,3057,3748,4682,4116,3985
금,사망자수,54,46,59,68,63,55,55,64,59,121,85,67
금,부상자수,3295,2114,1536,3401,5227,3904,4224,4628,5494,6867,6143,6397
토,발생건수,3099,2088,1601,1782,2349,2788,3231,3257,3431,3907,3566,3109
토,사망자수,78,73,80,51,67,59,70,67,71,72,82,74
토,부상자수,5201,3501,2497,2845,3819,4589,5247,5269,5761,6373,5799,5028
